Key,Id,English(en),Italian(it),Russian(ru),Spanish(es)
EoC_1,707500608315392,Wow! Look how far we've come!,Wow! Guarda fin dove siamo arrivati!,Ух ты! Смотрите как далеко мы уже продвинулись!,¡Guau! ¡Fíjate cuanto hemos crecido!
EoC_2,707500650258432,It's time to celebrate!,È ora di celebrare!,Самое время отпраздновать!,¡Toca celebrarlo!
EoC_3,707500650258433,With what?,Come?,Но как?,Cómo lo celebramos?
EoC_4,707500650258434,"With a special event! 
A Marathon!","Con un evento speciale!
Una Maratona!","Устроим особое соревнование!
Марафон!","¡Con un evento especial!
¡Una Maratón!"
ProgressionEvent_unlock_1,,"While you're building the hospital, would you mind getting us extra chips?","Mentre costruisci l'ospedale, potresti fornirci alcuni pezzi extra?",Ты не против заработать немного дополнительных фишек для нас пока ты строишь больницу?,Mientras construyes el hospital ¿te importaría traernos piezas extra?
ProgressionEvent_unlock_2,,The more chips the better!,Piú pezzi raccogli meglio é!,Чем больше фишек тем лучше!,¡Cuantas más piezas mejor!
FirstMiniGame_1,,"Oh no!
The City Hall is on fire!","Oh no!
The City Hall is on fire!","Oh no!
The City Hall is on fire!","¡Oh no!
¡El Ayuntamiento está en llamas! "
FirstMiniGame_2,,We are so close!,We are so close!,We are so close!,¡Estamos muy cerca!
FirstMiniGame_3,,"Please, we need a bridge to reach the City Hall!","Please, we need a bridge to reach the City Hall!","Please, we need a bridge to reach the City Hall!","¡Por favor!
¡Construye un puente para que podamos llegar al Ayuntamiento!"
SecondMinigame_1,,"Oh no!
A traffic jam!","Oh no!
A traffic jam!","Oh no!
A traffic jam!","¡Oh no!
¡Hay un atasco! "
SecondMinigame_2,,You need to find another way to reach the hospital!,You need to find another way to reach the hospital!,You need to find another way to reach the hospital!,¡Teneis que encontrar otra manera de llegar al hospital!
SecondMinigame_3,,"Let's build a bridge, quick!","Let's build a bridge, quick!","Let's build a bridge, quick!","¡Rápido, construyamos un puente!"
Tutorial_RechargeableBooster_1,,"<color=#FFDC23>Firework</color> unlocked!

It <color=#FFDC23>aims a Stack with a Goal</color>!","<color=#FFDC23>Firework</color> unlocked!

It <color=#FFDC23>aims a Stack with a Goal</color>!","<color=#FFDC23>Firework</color> unlocked!

It <color=#FFDC23>aims a Stack with a Goal</color>!","<color=#FFDC23>Petardo</color> desbloqueado!

<color=#FFDC23>Apunta una pila Objetivo</color>!"
Tutorial_RechargeableBooster_2,,"Clear <color=#FFDC23>any color but
your Goals to charge</color> it!","Clear <color=#FFDC23>any color but
your Goals to charge</color> it!","Clear <color=#FFDC23>any color but
your Goals to charge</color> it!",Elimina <color=#FFDC23>cualquier color excepto el Objetivo para cargarlo</color>!
EndChapter3_1,,Such a lovely hospital!,Such a lovely hospital!,Such a lovely hospital!,¡Que hospital tan bonito!
EndChapter3_2,,"Indeed!
But such a big hospital needs a lot of doctors and nurses!","Indeed!
But such a big hospital needs a lot of doctors and nurses!","Indeed!
But such a big hospital needs a lot of doctors and nurses!","¡Así es!
¡Pero un hospital tan grande necesita muchos doctores e inferemeras!"
EndChapter3_3,,Let's train more professionals!,Let's train more professionals!,Let's train more professionals!,¡Formemos más profesionales!
School_Unlock_1,,"Excellent!
I already feel smarter!","Excellent!
I already feel smarter!","Excellent!
I already feel smarter!","Excellent!
I already feel smarter!"
School_Unlock_2,,"Me too! Look!
""Mens sana in corpore sano""","Me too! Look!
""Mens sana in corpore sano""","Me too! Look!
""Mens sana in corpore sano""","Me too! Look!
""Mens sana in corpore sano"""
School_Unlock_3,,"You mean you want a sport court, right?","You mean you want a sport court, right?","You mean you want a sport court, right?","You mean you want a sport court, right?"
School_Unlock_4,,"Uhm...
Please?","Uhm...
Please?","Uhm...
Please?","Uhm...
Please?"
SportCourt_1,,"It's perfect!
This will attract a lot of students!","It's perfect!
This will attract a lot of students!","It's perfect!
This will attract a lot of students!","It's perfect!
This will attract a lot of students!"
SportCourt_2,,"Yes!
Let's prepare some residences for them!","Yes!
Let's prepare some residences for them!","Yes!
Let's prepare some residences for them!","Yes!
Let's prepare some residences for them!"
Prelevel1,,Complete levels to rebuild the city!,Complete levels to rebuild the city!,Complete levels to rebuild the city!,Complete levels to rebuild the city!
